weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
strict_frozen_weight4,future_query,File Download,building-monitor,seen_in_support,1191.0,1.0,1.0,0.9998206696579219,0.9998206696579218
strict_frozen_weight4,future_query,File Download,domotic-monitor,seen_in_support,1187.0,1.0,1.0,0.999820669657922,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,File Download,combined-cycle,seen_in_support,105.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,same_file_query,File Download,combined-cycle,seen_in_support,105.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,support_val,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Mirai GRE Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Mirai TCP Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Mirai UDP Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,support_val,Mirai GRE Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,support_val,Mirai TCP Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,support_val,Mirai UDP Flooding,ip-camera-museum,seen_in_support,6.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Merlin C&C Communication,ip-camera-museum,seen_in_support,5.0,1.0,1.0,0.9998206696579219,0.9998206696579218
medium_mass_ratio_recalibrated,support_val,Merlin TCP Flooding,ip-camera-museum,seen_in_support,5.0,1.0,1.0,0.9998206696579219,0.9998206696579218
