candidate,protocol,held_value,role,attack_family,rows,sources,hard_recall,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai GRE Flooding,12712,3,1.0,1.0,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai TCP Flooding,12711,3,0.9999213279836362,0.9974489795918368,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai UDP Flooding,12711,3,0.9999213279836362,0.9968652037617555,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Reporting,93,3,0.989247311827957,0.6666666666666666,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,TCP Scan,24711,4,0.9818704220792359,0.9324894514767933,0.9953836007913828,source,4,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Telnet Brute Force,24712,4,0.9373583684040142,0.8778089887640449,0.9424049241591559,source,4,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,UDP Scan,113,1,0.9469026548672567,0.8968253968253969,0.9898106357927786,episode,60,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,File Download,105,1,1.0,1.0,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,Ingress Tool Transfer,2381,1,0.9420411591768164,0.9230446136690089,0.9592341844809457,episode,12,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,C&C Communication,90,1,0.9333333333333333,0.8749640804597701,0.9795918367346939,episode,20,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,File Download,1231,1,0.9983753046303818,0.9973684210526316,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Ingress Tool Transfer,3702,1,0.9570502431118314,0.9468675372417005,0.9682252770382962,episode,16,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin ICMP Flooding,10011,1,1.0,1.0,1.0,episode,5,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin TCP Flooding,15000,1,0.9998666666666667,0.9996571624478601,1.0,episode,4,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin UDP Flooding,4996,1,0.9993995196156925,,,unavailable,1,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai GRE Flooding,15000,1,0.9998666666666667,,,unavailable,1,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai TCP Flooding,15000,1,0.9998666666666667,0.9997333688841488,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai UDP Flooding,15000,1,1.0,1.0,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Reporting,74,1,1.0,1.0,1.0,episode,8,0.0,27
