candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,1.0,0.0,0.98793301220321,0.006707318624332417
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.0028188865398167725,0.01625557904627672,0.009175919028743472,0.9882318690048195
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.009518274570579879,0.0686943045331267,0.01611297505080257,0.9800686996328188
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9967121993751362,0.0018618760444670493,0.9763235884945113,0.015492963169358331
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,4.460701222232135e-05,0.0,0.0002162298180100045,0.0001676943537026194
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,4.459308807134894e-05,0.0,0.0002161191943739447,0.0001676835313884811
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.0,0.0003747666750064379,0.00016763671266243862
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0006086427267194157,0.0,0.0007930076121716786,0.00016763671266243862
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.007358953393295176,0.0,0.0016524806216189885,0.00017887081108482056
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.002879473467708762,0.0,0.0012769645656201748,0.00017792213121182389
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0020567667626491155,0.0,0.0008519607007183553,0.00018793238607140212
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.004497138184791497,0.0,0.0014004043867949184,0.00018191845014624397
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0028559771521827824,0.0,0.0004042491392953077,0.00017586008617929074
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,3.75234521575985e-05,0.009806128830519074,0.001171421195852113,0.9973941882575499
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.0,0.9997045813763367,0.00017638094404719495
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.0,0.9092044748056494,0.0005389925027640255
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,0.925,0.075,0.9825409331562771,0.0026465959636383877
