group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.0002651006711409396,0.9978200992279991,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00025503355704697983,0.997830166342093,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0002449664429530201,0.997840233456187,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00023489932885906032,0.997850300570281,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00022483221476510067,0.9978603676843749,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00021476510067114092,0.9978704347984689,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00020469798657718117,0.9978805019125628,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0001946308724832214,0.9978905690266568,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00018456375838926166,0.9979006361407508,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000174496644295302,0.9979107032548448,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
